,n_arms,epsilon,true_winner_idx,winner_idx,true_winner_ctr,winner_ctr,traffic,wins,baseline
227,3.0,0.7000000000000001,1.0,1.0,0.31637186906388126,0.31637186906388126,1004.0,230.0,0.23952049752227492
228,3.0,0.7000000000000001,2.0,2.0,0.20986139298021242,0.20986139298021242,1511.0,279.0,0.18441818730374493
229,3.0,0.7000000000000001,2.0,2.0,0.23732048932605693,0.23732048932605693,24188.0,4991.0,0.2091444535973718
230,3.0,0.7000000000000001,2.0,2.0,0.32680094048662944,0.32680094048662944,1032.0,248.0,0.24878713375645437
231,3.0,0.7000000000000001,0.0,0.0,0.2144134136080108,0.2144134136080108,3863.0,722.0,0.18048025974885995
232,3.0,0.7000000000000001,2.0,2.0,0.27489621898620575,0.27489621898620575,6825.0,1627.0,0.23762939154862908
233,3.0,0.7000000000000001,2.0,2.0,0.21363652235434344,0.21363652235434344,2106.0,384.0,0.17202581399686037
234,3.0,0.7000000000000001,1.0,1.0,0.2874471358171514,0.2874471358171514,1039.0,230.0,0.20551670232133637
235,3.0,0.7000000000000001,0.0,0.0,0.27287811605435336,0.27287811605435336,4179.0,972.0,0.2389801803864056
236,3.0,0.7000000000000001,2.0,2.0,0.21008815630666527,0.21008815630666527,1004.0,147.0,0.1663668963370353
237,3.0,0.7000000000000001,2.0,2.0,0.19465133022077422,0.19465133022077422,1007.0,154.0,0.1660552623744895
238,3.0,0.7000000000000001,0.0,0.0,0.22741231492949535,0.22741231492949535,100003.0,20335.0,0.20459177703549777
239,3.0,0.7000000000000001,0.0,0.0,0.21921682571017587,0.21921682571017587,87271.0,18752.0,0.2137594813761676
240,3.0,0.8,0.0,0.0,0.23204507501871524,0.23204507501871524,29546.0,5792.0,0.20573327313461146
241,3.0,0.8,2.0,2.0,0.2589518880963926,0.2589518880963926,1097.0,239.0,0.22824740640778693
242,3.0,0.8,0.0,0.0,0.26898184245489976,0.26898184245489976,100003.0,22118.0,0.2290610837939175
243,3.0,0.8,1.0,1.0,0.18047063196350066,0.18047063196350066,8486.0,1415.0,0.16745735589615973
244,3.0,0.8,1.0,1.0,0.2616348508415452,0.2616348508415452,3525.0,891.0,0.24251299360081732
245,3.0,0.8,0.0,0.0,0.16871604486416744,0.16871604486416744,17661.0,2759.0,0.1578138821063058
246,3.0,0.8,2.0,2.0,0.28341600021303837,0.28341600021303837,1004.0,216.0,0.22817505643456118
247,3.0,0.8,0.0,0.0,0.2415680337674505,0.2415680337674505,1602.0,331.0,0.22094238035730399
