n_arms,true_winner_idx,winner_idx,traffic,wins,baseline,conversion
10.0,6.0,3.0,16487.0,3750.0,0.18888520417982654,0.2274519318250743
10.0,4.0,4.0,10688.0,2765.0,0.21091343259941014,0.25870134730538924
10.0,9.0,9.0,4404.0,1186.0,0.20037580007377,0.2693006357856494
10.0,8.0,5.0,2112.0,552.0,0.1877077223008426,0.26136363636363635
10.0,3.0,3.0,1630.0,381.0,0.18833048542055011,0.23374233128834357
10.0,4.0,4.0,2560.0,683.0,0.18038566483145174,0.266796875
10.0,1.0,4.0,5660.0,1612.0,0.21095606528465027,0.28480565371024735
10.0,7.0,7.0,6177.0,1512.0,0.21172984863296854,0.2447790189412336
10.0,0.0,0.0,34698.0,8658.0,0.1866982155111602,0.2495244682690645
10.0,4.0,4.0,5888.0,1337.0,0.19378304241156968,0.22707201086956522
10.0,6.0,6.0,28182.0,6923.0,0.17865947367351548,0.24565325384997516
10.0,2.0,2.0,1009.0,284.0,0.20368702684531015,0.2814667988107037
10.0,7.0,7.0,2094.0,605.0,0.22664799325032042,0.2889207258834766
10.0,3.0,3.0,3921.0,822.0,0.18912431231103918,0.20964039785768937
10.0,5.0,3.0,34999.0,6974.0,0.17143659181480497,0.19926283608103088
10.0,3.0,8.0,100000.0,29758.0,0.2039160089761151,0.29758
10.0,6.0,6.0,9850.0,2508.0,0.20511427328331927,0.25461928934010153
10.0,1.0,3.0,9610.0,2438.0,0.21368222323995392,0.25369406867845995
10.0,2.0,2.0,100000.0,21701.0,0.16606749867271575,0.21701
12.0,7.0,7.0,18451.0,4624.0,0.21434617621761656,0.2506097230502412
12.0,5.0,7.0,18023.0,5587.0,0.21763625119842478,0.30999278699439603
12.0,6.0,6.0,3716.0,1086.0,0.20865241228747156,0.2922497308934338
12.0,2.0,10.0,4097.0,996.0,0.18447174164942123,0.24310471076397364
12.0,6.0,6.0,1881.0,424.0,0.17981026469371228,0.2254120148856991
12.0,3.0,3.0,28051.0,7167.0,0.20400151441677183,0.25549891269473457
12.0,7.0,11.0,100000.0,27341.0,0.20633432914823133,0.27341
12.0,1.0,1.0,6797.0,1587.0,0.1957873952151199,0.23348536118875976
12.0,6.0,7.0,20017.0,5378.0,0.2053067052119136,0.26867162911525205
12.0,10.0,10.0,7305.0,1985.0,0.19091640920156946,0.27173169062286107
12.0,11.0,11.0,13138.0,3546.0,0.18307449895312666,0.2699040949916273
12.0,6.0,6.0,2906.0,719.0,0.21692606321868615,0.24741913282863043
12.0,4.0,4.0,1224.0,335.0,0.2176280254619296,0.27369281045751637
12.0,7.0,10.0,15342.0,4263.0,0.18596653174794012,0.2778646851779429
12.0,3.0,3.0,87650.0,23935.0,0.20123105700248525,0.2730747290359384
12.0,0.0,0.0,88231.0,24973.0,0.21175510384477644,0.28304110800058935
12.0,4.0,4.0,17193.0,4001.0,0.20085334369566102,0.23271098702960508
12.0,7.0,7.0,18238.0,5597.0,0.2300932258355264,0.30688672003509154
12.0,3.0,7.0,24229.0,5394.0,0.1719120200380129,0.22262577902513517
12.0,4.0,9.0,3524.0,985.0,0.21920602174247597,0.27951191827468785
12.0,6.0,6.0,10406.0,2542.0,0.2037329797548035,0.24428214491639438
12.0,11.0,11.0,7173.0,2078.0,0.215734815260206,0.2896974766485432
12.0,3.0,3.0,95488.0,21792.0,0.1807800682674725,0.2282171581769437
12.0,7.0,7.0,100000.0,23863.0,0.20113510735217432,0.23863
12.0,3.0,3.0,9781.0,2244.0,0.1966513476167979,0.22942439423371844
12.0,9.0,9.0,4222.0,1166.0,0.18966281969558305,0.2761724301279015
12.0,7.0,7.0,100000.0,24416.0,0.18903964211824742,0.24416
12.0,5.0,5.0,3551.0,854.0,0.19088184147345452,0.24049563503238525
12.0,5.0,5.0,3541.0,933.0,0.20792050200334491,0.2634848912736515
12.0,2.0,2.0,2193.0,534.0,0.16962109638512834,0.24350205198358413
12.0,7.0,7.0,12077.0,3106.0,0.21059629673137947,0.25718307526703654
12.0,3.0,3.0,31096.0,6679.0,0.18192045101708912,0.21478646771288912
14.0,10.0,10.0,7198.0,2013.0,0.2247520561399483,0.2796610169491525
14.0,6.0,6.0,14981.0,3877.0,0.20052253074542253,0.2587944729991322
14.0,5.0,5.0,3761.0,1062.0,0.1994253925987031,0.2823717096516884
14.0,2.0,2.0,11812.0,3009.0,0.2016672638118813,0.2547409414155096
14.0,3.0,3.0,100000.0,21526.0,0.17007963640890789,0.21526
14.0,7.0,7.0,9439.0,2608.0,0.20526609434812304,0.2763004555567327
14.0,11.0,11.0,42337.0,11443.0,0.21771986671214402,0.2702836762170206
14.0,11.0,11.0,14409.0,3981.0,0.19515250001990872,0.2762856547990839
14.0,8.0,8.0,15741.0,4456.0,0.21766309098810704,0.28308239628994347
14.0,4.0,9.0,100000.0,21868.0,0.16605939910182096,0.21868
14.0,0.0,0.0,2434.0,758.0,0.21525800669334977,0.3114215283483977
14.0,2.0,0.0,1721.0,404.0,0.19773274090412105,0.2347472399767577
14.0,10.0,10.0,48853.0,11213.0,0.19696923858130697,0.22952531062575482
14.0,10.0,10.0,68983.0,18709.0,0.2198345925846664,0.27121174782192714
14.0,1.0,8.0,100000.0,23862.0,0.17305200059189688,0.23862
14.0,4.0,4.0,20865.0,5343.0,0.19278765818579108,0.2560747663551402
14.0,8.0,8.0,1353.0,338.0,0.18914680318950777,0.24981522542498152
14.0,1.0,1.0,6960.0,1676.0,0.21381015384352048,0.24080459770114943
14.0,2.0,2.0,16351.0,3897.0,0.18513751469654077,0.23833404684728762
14.0,12.0,12.0,17594.0,4133.0,0.19202600714585702,0.234909628282369
14.0,2.0,2.0,3233.0,795.0,0.20296037777036124,0.2459016393442623
14.0,11.0,11.0,53292.0,13366.0,0.20540648739915493,0.2508068753283795
14.0,11.0,11.0,14748.0,3799.0,0.20103506943235713,0.2575942500678058
14.0,1.0,6.0,26888.0,7798.0,0.2095683825795476,0.29001785182981255
14.0,7.0,7.0,79027.0,21869.0,0.19957377992680508,0.27672820681539223
14.0,9.0,2.0,10052.0,2855.0,0.19946093732703715,0.28402307998408277
14.0,13.0,13.0,15037.0,3790.0,0.2027006109725483,0.25204495577575314
14.0,0.0,0.0,6629.0,1631.0,0.1959861948222709,0.24604012671594508
14.0,11.0,8.0,13482.0,3598.0,0.18469709078255225,0.26687435098650053
14.0,9.0,9.0,1349.0,325.0,0.17030979747276692,0.24091919940696813
14.0,7.0,12.0,12595.0,3083.0,0.1864374499953703,0.24477967447399762
14.0,9.0,6.0,5076.0,1106.0,0.1847779318907765,0.21788810086682428
16.0,4.0,4.0,59278.0,16387.0,0.20575712534923724,0.2764431998380512
16.0,8.0,8.0,100000.0,28859.0,0.20619383123303697,0.28859
16.0,0.0,0.0,9129.0,2266.0,0.20664081338136883,0.24821995837441121
16.0,2.0,2.0,48064.0,11537.0,0.17843477909872557,0.24003412117177098
16.0,11.0,8.0,1091.0,253.0,0.20144349228195563,0.23189734188817598
16.0,8.0,8.0,7573.0,1943.0,0.2050720841231855,0.25656939125841804
16.0,13.0,6.0,1937.0,545.0,0.20767608718409375,0.28136293236964377
16.0,12.0,12.0,4142.0,1247.0,0.21909892849940532,0.30106228874939645
16.0,6.0,6.0,33143.0,8859.0,0.1916013001031697,0.2672962616540446
16.0,6.0,9.0,1986.0,408.0,0.17712140255344394,0.2054380664652568
16.0,13.0,13.0,100000.0,25254.0,0.18013505905004346,0.25254
16.0,0.0,3.0,50156.0,12862.0,0.21253480033408434,0.25643990748863543
16.0,8.0,8.0,37201.0,10965.0,0.1953238099255359,0.29475014112523856
16.0,6.0,8.0,53507.0,14802.0,0.20229160825111167,0.27663670173995925
16.0,9.0,9.0,12556.0,3365.0,0.18495005770155815,0.2679993628544122
16.0,8.0,8.0,9099.0,2500.0,0.19125859644815163,0.2747554676338059
16.0,8.0,12.0,100000.0,24440.0,0.19800307828830674,0.2444
16.0,1.0,1.0,94270.0,25381.0,0.18415055831298688,0.26923729712527844
16.0,7.0,7.0,9864.0,2710.0,0.1873966257417392,0.27473641524736414
16.0,12.0,15.0,14090.0,3406.0,0.20440602037072025,0.2417317246273953
16.0,1.0,1.0,3396.0,782.0,0.1903561976742208,0.23027090694935218
16.0,0.0,11.0,8891.0,2376.0,0.20393230201023038,0.2672365313238106
16.0,5.0,5.0,76462.0,20969.0,0.19611519379192285,0.27424079935131174
16.0,14.0,14.0,5747.0,1688.0,0.2299223427745395,0.29371846180615974
16.0,9.0,12.0,16339.0,3567.0,0.1783428098714366,0.21831201419915539
16.0,10.0,10.0,2650.0,677.0,0.19445149272002654,0.2554716981132075
16.0,9.0,9.0,1371.0,379.0,0.19840155537658705,0.2764405543398979
16.0,6.0,6.0,7222.0,2203.0,0.2035853162971757,0.3050401550816948
