n_arms,true_winner_idx,winner_idx,traffic,wins,baseline,conversion
10.0,6.0,6.0,3613.0,918.0,0.20511427328331927,0.2540824799335732
10.0,1.0,1.0,16492.0,4132.0,0.21368222323995392,0.25054571913655105
10.0,2.0,8.0,62090.0,12656.0,0.16606749867271575,0.20383314543404735
12.0,7.0,7.0,17474.0,4055.0,0.21434617621761656,0.2320590591736294
12.0,5.0,5.0,13672.0,3840.0,0.21763625119842478,0.280866003510825
12.0,6.0,6.0,1062.0,269.0,0.20865241228747156,0.2532956685499058
12.0,2.0,2.0,15841.0,3785.0,0.18447174164942123,0.23893693579950762
12.0,6.0,6.0,9653.0,2066.0,0.17981026469371228,0.21402672744224593
12.0,3.0,3.0,5546.0,1320.0,0.20400151441677183,0.23800937612693834
12.0,7.0,7.0,100012.0,26350.0,0.20633432914823133,0.2634683837939447
12.0,1.0,1.0,79707.0,19566.0,0.1957873952151199,0.2454740487033761
12.0,6.0,6.0,52894.0,14186.0,0.2053067052119136,0.26819677090029115
12.0,10.0,10.0,9225.0,2265.0,0.19091640920156946,0.24552845528455283
12.0,11.0,11.0,5247.0,1361.0,0.18307449895312666,0.2593863159900896
12.0,6.0,6.0,30112.0,8389.0,0.21692606321868615,0.2785932518597237
12.0,4.0,10.0,5080.0,1297.0,0.2176280254619296,0.25531496062992126
12.0,7.0,7.0,3276.0,750.0,0.18596653174794012,0.22893772893772893
12.0,3.0,3.0,58237.0,14578.0,0.20123105700248525,0.2503219602658104
12.0,0.0,0.0,100012.0,27145.0,0.21175510384477644,0.271417429908411
12.0,4.0,4.0,4733.0,1060.0,0.20085334369566102,0.22395943376294106
12.0,7.0,7.0,30637.0,9344.0,0.2300932258355264,0.3049906975226034
12.0,3.0,7.0,20346.0,4206.0,0.1719120200380129,0.20672368033028604
12.0,4.0,4.0,12568.0,3656.0,0.21920602174247597,0.29089751750477405
12.0,6.0,6.0,52534.0,12348.0,0.2037329797548035,0.2350477785814901
12.0,11.0,11.0,90749.0,26340.0,0.215734815260206,0.2902511322438815
12.0,3.0,3.0,22148.0,4783.0,0.1807800682674725,0.2159562940220336
12.0,7.0,7.0,68266.0,15918.0,0.20113510735217432,0.2331761052354027
12.0,3.0,3.0,19489.0,4365.0,0.1966513476167979,0.22397249730617272
12.0,9.0,9.0,1402.0,297.0,0.18966281969558305,0.21184022824536378
12.0,7.0,7.0,6186.0,1433.0,0.18903964211824742,0.2316521176850954
12.0,5.0,5.0,3712.0,865.0,0.19088184147345452,0.2330280172413793
12.0,5.0,5.0,14027.0,4086.0,0.20792050200334491,0.2912953589505953
12.0,2.0,7.0,1235.0,217.0,0.16962109638512834,0.1757085020242915
12.0,7.0,7.0,12336.0,2974.0,0.21059629673137947,0.24108300907911803
12.0,3.0,3.0,100012.0,21605.0,0.18192045101708912,0.2160240771107467
14.0,10.0,10.0,2718.0,747.0,0.2247520561399483,0.27483443708609273
14.0,6.0,6.0,1330.0,326.0,0.20052253074542253,0.24511278195488723
14.0,5.0,5.0,12469.0,3517.0,0.1994253925987031,0.2820595075787954
14.0,2.0,2.0,100014.0,26445.0,0.2016672638118813,0.2644129821824944
14.0,3.0,8.0,2666.0,555.0,0.17007963640890789,0.20817704426106526
14.0,7.0,7.0,5191.0,1288.0,0.20526609434812304,0.24812174918127528
14.0,11.0,11.0,100014.0,26712.0,0.21771986671214402,0.2670826084348191
14.0,11.0,11.0,35066.0,8486.0,0.19515250001990872,0.24200079849426795
14.0,8.0,8.0,29220.0,8121.0,0.21766309098810704,0.2779260780287474
14.0,4.0,9.0,1165.0,236.0,0.16605939910182096,0.20257510729613734
14.0,0.0,10.0,1197.0,278.0,0.21525800669334977,0.2322472848788638
14.0,2.0,2.0,23542.0,6189.0,0.19773274090412105,0.2628918528587206
14.0,10.0,9.0,100014.0,22514.0,0.19696923858130697,0.2251084848121263
14.0,10.0,10.0,32418.0,8435.0,0.2198345925846664,0.26019495342093896
14.0,1.0,8.0,100014.0,22791.0,0.17305200059189688,0.2278780970664107
14.0,4.0,5.0,3840.0,861.0,0.19278765818579108,0.22421875
14.0,8.0,8.0,1395.0,307.0,0.18914680318950777,0.22007168458781362
14.0,1.0,1.0,4472.0,1078.0,0.21381015384352048,0.24105545617173524
14.0,2.0,2.0,100014.0,23841.0,0.18513751469654077,0.2383766272721819
14.0,12.0,12.0,1015.0,211.0,0.19202600714585702,0.20788177339901479
14.0,2.0,9.0,1675.0,381.0,0.20296037777036124,0.22746268656716417
14.0,11.0,11.0,100014.0,24844.0,0.20540648739915493,0.24840522326874237
